storyid,storytitle,sentence1,sentence2,sentence3,sentence4,sentence5
6ef993b6-f590-4703-8dda-97fc754cc37f,Pizza Buffet,Casey was eating at a pizza buffet.,She stood in line to get her food.,"The woman in front of her picked up a pizza slice, then returned it.",Casey was disgusted.,She didn't like eating at buffets after that.
a98f4667-cda7-4b2c-9db3-7904152077ca,Car Won't Start,Dan's car wouldn't start.,Dan wondered if the battery might be dead.,Dan opened the hood to have a look.,A small animal had chewed through some wires.,Dan got the wires replaced to fix the car.
27f8d7b1-5128-4c12-b611-b985a473350c,Ben gets left,Ben works very hard for his wife.,His wife tells him he doesn't make enough.,His wife leaves him.,Ben tries to make better of his life.,He joins the army and never looks back.
f9416308-ae4b-4d9c-acdd-cc9ffe8c8192,Red Pandas,We went to the zoo together.,We walked straight to Cat Country.,There we found the red pandas.,They were running and playing.,We laughed and enjoyed the show.
e5a00523-984b-4e53-bd54-d53335420829,The Painter,A young girl loved going to art class in school.,But her parents told her that painting was silly.,So she was not able to paint much outside of school.,Though one day she moved away from her parents.,She was then able to paint whatever she wanted and became famous.
e2c189c3-5316-47a5-b918-6e061eff88a6,The Stormy Night,The family was weathering a thunderstorm.,The children voiced their fright.,The parents decided to distract the kids with a mock camping trip.,They put up a tent and made s'mores inside the house.,The kids had a good time up until the storm ended.
1d762f68-60b0-40e4-8720-d7386faff904,Fjord 2,"As we visited with my uncle, he taught us a lot.","He walked on the property with me, and showed me his chickens.",He told me about the history of his Fjord horses.,He'd gotten them from a norwegian friend years ago.,I enjoyed listening to his stories that day.
96148ca5-d0d3-4d9d-8639-d7b0838c3924,Thanksgiving,Troy had not seen his family in years.,Troy had been living in another country.,He longed to see his family.,He bought a plane ticket.,He visited his family on Thanksgiving.
12b619c1-f52c-4571-a130-b94bef891446,Party DJ,Tom loved being social.,He wanted to please people.,He decided to throw a party.,He hired a great DJ.,Everyone had a great time at the party.
378f173d-9ef0-4de4-84b6-61ecb6366df6,Disapproving Dad,Bill and Amy dated for four years.,They finally decided to get engaged.,Bill's father disapproved of the impending marriage.,This put a strain on Bill's relationship with his father.,After the wedding things were never the same between Bill and his dad.
57a9993c-6203-41d1-8ac0-a1cff661b160,Money Woes,Today I listened to my boyfriend while he was on the phone.,He was calling his mother because of financial issues.,She agreed to help him out with money.,A few days later we received some money in the mail.,When we got back on our feet we paid her back for her help.
f30e5b19-d7b6-4281-8dbd-d8ce322f88e2,Horace's Date,Horace had never been on a proper date before.,He asked his friends for some advice.,They told Horace he only needed confidence.,Horace confidently asked Stacy for a date!,Poor Horace didn't know Stacy was engaged.
824eedcf-1e9d-4263-afb6-05f52235eb37,The Earrings,Kent wanted to buy a gift for his wife.,He saw a beautiful pair of diamond earrings.,He wrapped them up and gave them to her.,She was in love!,She thanked him for the beautiful gift.
5dde1389-86d4-4e89-bd8a-cd9cfb0e61fd,Larry Catches a Trout,Larry was fishing in the pond in his backyard.,He couldn't catch anything today.,He decided to take a lunch break.,"While he was eating his sandwich, something tugged his line.",Larry reeled in a 2 pound trout from the pound.
8169371d-1fa5-46a0-ab09-a277d9adf792,Eating Contest,Joe was ready to win the eating contest.,He had already swallowed 100 hot dogs when a gull landed on his head.,Frightened Joe ran.,"As he needed to remain present to win, he lost the competition.",Joe developed a fear of contest eating and never entered again.
fe99c107-f223-408c-a917-ef95a0624950,Jumping Jacks,Our PE coach made us do jumping jacks the other day.,"While I was doing my jumping jacks, I fell down.",I fell really hard and hurt my ankle.,Now I can't do jumping jacks for a while.,I'll have to be more careful the next time I do jumping jacks.
0da19c85-9b18-4d08-80b4-318ec5e494a8,Deceiving Attention,Gary walked to his class.,A marketing agent stopped him.,She explained a project she's working on and asked for help.,Gary found out that he needs to pay money for an online membership.,"Since she told him last minute, he was mad."
483b097d-8b3b-4daa-a968-fd66f8e3cdfd,tsunami,John found there was an earthquake forecast.,John realized he needed to get out of the city.,John realized it was too late.,The earthquake had occurred and a tsunami was on its way.,John was stranded on top of a building waiting for the rescue.
a30f67d7-95b2-478d-8158-7722c99cb46e,Old Lunch,Rick brought a bag of cereal to school.,But he didn't eat it all.,He left it in his backpack and forgot about it.,But he discovered it a few weeks later.,Rick felt guilty about wasting the old cereal and ate it.
958743f5-27fe-4b12-9418-18ef351289d1,Teaching,All her life Susan wanted to be a teacher.,She had just graduated college.,Susan had gotten a job at the local high school.,She began teaching.,Susan loved her job teaching and did very well at it.
ab18bca3-a0f3-4e7c-83b7-bc28f1cc0889,New Garden,Valerie was bored and wanted to do something exciting.,She became inspired to start a garden after watching the food network.,She planted tomatoes and squash.,Her garden grew vigorously throughout the summer.,She gave out all her vegetables to her neighbors when they were ripe.
a648d9b4-d816-4e77-a5b6-8ddc04149dc5,Potato Chips Everywhere,Donald was driving in his truck with a new bag of potato chips.,He was really hungry so he opened the bag.,He struggled for a bit but he couldn't use both hands.,He held on to the bag with his teeth and pulled.,The bag opened suddenly and potato chips flew everywhere!
fd06745b-e5bc-4d32-a4f1-c622a9afeba6,Making muffins.,Hannah was making muffins.,She opened the box mix.,"Then, she mixed the powder and some eggs.","Finally, she poured the batter into muffin cups.","After a minute in the oven, the muffins were ready to eat."
8a9827ea-cd8b-43f0-957b-95b84ceb86d8,New Phone,Thomas was frustrated with his outdated phone.,"One day, he decided he would buy a new one.",He went to the mall in search of a kiosk that sold phones.,He was approached by a friendly clerk who helped him decide on one.,"He left the mall with a brand new, modern smart phone."
b4bc0e10-0767-4d36-b4ff-52b457823713,Sick from tattoos,Susie got a few tattoos last week.,All the sudden she got sick.,She went to the doctor.,The doctor told her she had to take antibiotics.,So she walked out with a prescription.
a5cb2b65-a08b-49ea-9578-ff091088b918,Painful Cramp,Jim was exercising at the park.,He was doing lunges in the field.,"All of a sudden, he felt his thigh cramp up.",He rolled around in the field in pain.,Jim was able to complete his workout after his painful cramp.
bcb346a3-ebd6-4121-866a-4ecf1c821c75,Potato Chips,I loved potato chips.,I wanted to create my own flavor of chips.,I decided to make some beer flavored chips.,"Alas, they were disgusting.",I realized I should let the professionals stick to making chips.
c89d307c-4bce-4d3b-996a-a550cb022eb9,Gas leak,John thought he smelled something funny.,When his wife Got home she agreed.,Sure enough there was a gas leak.,The gas company came out to fix it.,Their fears were resolved and the smell was gone.
314e0164-6ad5-4621-a906-8db4109207c6,The vacation,Mike went with his family on a camping vacation.,"They planned it to be sunny all week, but it rained every day!","They planned fishing, but the river was too rapid!","They spent the whole time in the camper, telling stories.","Mike still had a great time, and cherished the time with family."
375f6892-f36f-47a9-a157-f4434bc4cd42,Picking Blueberries,Me and my family went blueberry picking for a day.,"When we arrived, we picked up baskets, and headed out to the field.",We picked for hours and probably ate more than we picked.,We finished filling our baskets and went to check out.,The cashier jokingly said we should be weighed before and after too.
bca1a45a-5d45-4635-afd9-80577da29312,Knitting,Elizabeth was given a baby blanket when she was born.,"She loved her blanket so much, that it wore out.",Elizabeth asked her Auntie to please fix her blanket.,Her Auntie tried but couldn't fix the blanket.,Instead her Auntie made a new blanket and Elizabeth was happy.
8e4af628-4fd6-4a30-8e8e-53c8172ac01d,Salad,I was stuck late at work with nothing to eat a week ago.,I really wanted something healthy for dinner but nothing was open.,I came home and tried to find something to eat.,I ended up finding some lettuce and other salad makings.,I made a salad and was really pleased with it!
d5888c01-aea0-47d3-ac6b-cdf50777a1fd,Another Treasure,The young man watched as the bandits entered the cave.,They had dug a hole in the ground and were looking for something.,He was amazed at what they soon found.,It was ancient Spanish cross.,"He waited until they were gone and followed them, he wanted the cross!"
b225696d-8ec9-4366-ae1b-874ceb21e920,Deceit,Teleji Adeleji was a patriot.,He saw the way the people were running his country into the ground.,He began plotting to assassinate his country's president.,Only to have his plans foiled so there wouldn't be a power vacuum.,Teleji then went missing and has been for 10 years.
54f0b608-a1cf-47b3-b2da-d98c889cf9fe,Travel,Mike and Clara decided to go on vacation to Chicago.,It was their first flight together.,"When sat on the plane, both got really nervous.",During the flight everything was going great.,They made it safely and enjoyed their vacation.
8cbc0bb6-1170-4a8b-8ad8-267816e03409,How The Business Got Its Name,Darrin wanted to start a record label but didn't know what to call it.,He tried several names but they were all taken.,His wife told him to try something not so fancy.,Darrin looked around his house and saw a plunger.,So he came up with the name Plunger Records.
866ce1d2-268d-4c71-abb5-e68f5b29c5d7,Stomach Ache,Carla was enjoying her nutritional drink.,She told Janice to try out the drink.,Janice had a sip and gave a good comment on it.,"Unfortunately, she caught a bad stomach ache an hour later.",She was stuck in the bathroom for a while.
2219e175-b276-4ea4-b7c2-fe049dbefcb3,Chocolate Milk,Chris bought a half gallon of chocolate milk.,He started drinking some from the carton.,He drank more and more while watching Netflix.,"Before he knew it, he had drank the whole carton.","Pretty soon, he started feeling very sick to his stomach."
6538cc08-7edd-4f1e-8e38-2f9970e1b803,Tree House,Kate wanted a tree house built in her backyard.,She had asked her parents to build one.,They worked on putting one together over the weekend.,Her father almost fell from the tree house during construction.,"Luckily, he was able to grab hold of nearby tree branch."
aa49cd7b-8574-442e-98e4-0fb32aceb7f2,The Jelly Bean Contest,Molly's teacher put out a jar of jelly beans.,She asked the students to guess how many were in the jar.,Molly shrewdly estimated the quantity of jelly beans.,The teacher revealed the true amount in the jar.,Molly's guess was the closest and she won all the candy!
4d6ba37a-eead-4a40-8799-da21f2f67256,Busted Phone,Tom was out with friends.,They were rough housing a bit.,Tom's phone fell out of his pocket.,It hit the floor and busted into pieces.,Tom replaced it and bought a case.
2635ee3e-1306-48e2-9034-792306db4e01,Gluten Free,Silvia had been getting stomach aches every day.,She went to the doctor but they couldn't figure out why.,"After searching online, she realized she may be allergic to gluten.",Silvia cut out all wheat and gluten foods.,"Sure enough, the pains stopped and she was fine."
9a51198e-96f1-42c3-b09d-a3e1e067d803,Overweight Kid,Dan's parents were overweight.,Dan was overweight as well.,The doctors told his parents it was unhealthy.,His parents understood and decided to make a change.,They got themselves and Dan on a diet.
18545c24-c1ef-4354-b671-04d51b39062e,BBQ,Jason wanted to have a BBQ in the backyard.,He called up all his friends.,"He went to the store and bought meat, chips, and soda.",Jason brought the radio outside and cranked up some music.,He spent the rest of the day grilling food and playing games.
57972a08-9913-474f-9e15-96bcbf6467d5,The Helper,Alan was a carpenter.,He needed an assistant for the summer.,His nephew was interested in helping Alan.,Alan hired his nephew.,His nephew worked with him for the summer.
5e192e49-42af-46e8-b79b-8c9ea8a4425f,Man on the Run,"My friend, Aidan, used to be on the run from the law.",He had stolen two tires from an Advance Auto Parts.,They were pretty expensive.,The police never ended up finding him.,"To this day, he feels nervous driving by a squad car."
2973b55b-0569-4ff5-a0f8-e617a08f5f4c,A New Do,Julia never did her hair.,She kept her long locks up in a bun every day.,She finally decided to get it cut to something easier to manage.,Her stylist gave her a pixie cut.,Julia was both in shock and happy with her new style.
d8706bae-f8f7-4707-82a7-79d4c49b8418,Borrowing Cash,My friend loaned me twenty bucks last week.,I was going to pay him back today.,"Right as I was going to, I got a flat tire.",So I kept the money to replace it.,I've been avoiding him ever since.
0bbc2858-7ec7-4ac7-ae18-63bad612131d,Wheels,Tom loved automobiles.,He wanted to improve the appearance of his vehicle.,Tom purchased large rims for his car.,Tom had the rims installed.,Tom liked the new appearance of his car.
27ed16c5-e05e-415f-a5dc-ed731569a4cd,Bad Bees,The Baker children went running in the woods.,They climbed over rocks and fallen branches.,Elizabeth fell in a hole.,The hole was full of bees.,Elizabeth was stung hundreds of times.
5807282a-18cc-4d40-af11-3813efbd7d64,The Bar Girl,Dan was having a bad day.,He decided to go to the bar to feel better.,"At the bar, he met a girl who he was attracted to.",They talked for an hour and had a lot in common.,Dan asked her on a date and afterwards they started dating.
478de723-66a2-4efa-aaa8-a174e926bab7,Tree Trimming,Tim was trimming palm trees along the street.,A big branch fell to the ground just as a young woman was passing.,Tim called out to warn her.,She jumped out of the way just as the branch crashed down.,It was a very close call.
a08d3c24-9634-439a-8c93-3b9c838a521f,Time for a New Shirt,Janie had spilled some ink on her favorite shirt.,"She tried to clean it, but it left a bad stain.",Janie went to the store to find a new shirt.,She tried on three different shirts.,Janie chose the best shirt and purchased it.
62adc7e8-628d-4fe7-b8bb-38363fa8fe0b,Pride Beats a Bully,"Neil felt bad for his little cousin, who was being bullied at school.",Neil gave his cousin some tips on how to stick up for himself.,"The next day, he walked his cousin to school.",No one picked on him when his older cousin Neil was with him.,"The boy gained confidence and from then on, the bully backed off."
be2736b2-ef9f-46c2-a2db-726fefa673f1,Concert Tickets,Tim wanted to go to the concert more than anything.,He tried to buy tickets but they were all sold out.,He heard about a giveaway on the radio.,After spending almost all day on the phone he actually got through.,He won two tickets and had a great time with a friend.
841e4289-9bad-4984-bf2b-63621770de85,The Basketball Star,"Michael loved to play basketball, but wasn't very good.",He tried out for his high school team and got cut.,He practiced every single day for many hours.,The next year he had a growth spurt.,He made the team and went on to be a star.
fb53ddc0-fe97-4255-84ca-907e2cbf53a2,Past Due,Derick had a small house on the outskirts of town.,He would always forget to turn his lights off when not at home.,Derick was surprised to get a huge electric bill one month.,He wasn't able to afford to pay all at once.,Derick got his lights shut off the next month.
b648e3f5-9bd2-46c4-bf50-6fdc4a38a98e,Hopscotch,All the girls were ready to start.,They had spent a while making the hopscotch markings.,They had used sidewalk chalk and ready to play.,The girls began jumping to each numbered box.,It was great fun playing hopscotch for them.
451a366c-15fb-4512-8372-320652569e53,Fifty Sheets,Corey had to make 50 copies of a flyer for his band.,He put the original down and set up the copier.,He accidently hit an extra zero on the copier.,Now he had to wait for all 500 copies to come out.,The extra cost of the copies depressed Corey.
9bb8355f-cee7-4480-8617-7bb87605800e,Paying for myself,Fred asked Tricia on a date yesterday to an Italian restaurant.,Tricia said yes and the two went off to eat some pizza.,"When it came time for the bill, Fred was about to pay.",But Tricia said she wanted to pay for herself.,Fred was impressed and Tricia simply smiled.
3a6525b7-d333-4cd9-9413-68f2366b8e91,Golf Cart,Camden was driving his golf cart to the beach.,He spotted a nest of ducklings along the way.,He stopped and got out to get a better look.,The mother duck got spooked and took off.,She pooped on the golf cart as she left the scene.
9562a122-630d-4fee-a4ab-6ab96afd735e,Outdone by her brother.,Susan was supposed to be learning how to tie her shoelaces.,She was lazy and always made her mum tie her shoes for her.,Or she would avoid the task completely by wearing shoes with buckles.,One day her younger brother bent down and tied his shoes by himself.,Suddenly Susan decided that she could tie her own laces too!
819f9ea3-f7e5-4be0-a564-a9a25ab0d545,No Pick Up,Kate's mom had dropped her off at a friend's house.,Her mom was supposed to pick her up at 7.,At 8 Kate found out she couldn't come to get her.,It was too far for her to walk home.,A terrified Kate had no idea how she was going to get home.
16e2be7a-7391-446d-acdc-04d7d2a5e622,New York Trip,I went to New York City.,It was a great trip to learn my pageant routine.,I got to stay on Broadway and meet with a choreographer.,I tap danced and practiced.,I then flew back home.
4d0aa2c8-4e7f-4dce-be32-6e5d5b7737b1,Stomach Ache,Jimmy loved peanut butter sandwiches.,"He loved them so much, he thought he could eat them forever.",He ate five whole sandwiches.,"After he did this, his stomach started to hurt terribly.",He vowed never to eat so many sandwiches again.
fa2ac5c1-6758-4437-b317-f34e1508e403,Witness,Jenny was a witness in a violent crime.,She had to testify in court yesterday.,"But when she arrived at City Hall, the crowd was swallowing her.",She managed to find her way out but arrived late for the trial.,She got fined for contempt to the court.
c05eabb4-358e-43c3-b69a-acd1bf140ca7,Keg Stand,Jane was at a party.,Everyone was doing keg stands.,She was convinced to do one as well.,Jane tried but failed right away.,Everyone congratulated her for at least trying.
487bb50a-32c7-4aee-8741-1ac286e1113e,Fishy,Gil has grown up in a family of fishermen.,His father and grandfather have been taking him fishing every weekend.,"When he grows up, he wants to work on a commercial fishing boat.",That's what his father and grandfather do.,He can't wait to take on the family tradition.
8ce71fda-8b49-42d5-9df0-4976eaed4e50,No Reservations,A friend called me to tell me she was coming to visit my city.,We made plans to eat at a nice restaurant.,My friend and I arrived at the fancy restaurant.,The staff told us there was an hour wait for a table.,We went to McDonald's instead.
f7e2ef6f-aa03-40d8-850f-f8d5cebe1064,Love or faith,Martin was studying very hard to become a priest.,"As he had no intention to fall in love, it worked well for him.","But one day, while he walked down the street, a woman was crying.","Full of empathy, he went to console her.",And he knew he was in love when their eyes met.
f4689246-52a7-4025-8038-2870edb33527,Christian Strikes,Jimmy was a guest of honor at a banquet.,He was the mayor of the city of Lamour.,His nemesis Christian got up to give a speech.,He started playing a video instead.,It was a video of an affair Jimmy had with a woman not his wife.
dbb5cae5-6715-44a0-98e9-7d33daa8532c,Whale Watching in August,Missy and I went Whale Watching for our first date.,"We stood at the railing of the boat, my arms around her.",A whale breached the surface right in front of us.,She snuggled close into me as we gasped in wonder and amazement.,I knew that I would marry that girl someday.
5f736ab9-4681-4b9e-b209-deb69f61de2c,Too Drunk,Tim was alone at home.,He was bored.,He decided to start drinking early.,Tim was drunk by the afternoon.,He regretted that decision.
08ef3f78-b434-4587-b337-3471e0b8debc,New Computer,Tim got a new computer.,It costed him 3 of his paychecks.,Tim was broke afterwards.,Tim decided to write paid articles on the computer.,The computer ended up paying for itself.
2945bba8-9c9a-4c92-925f-751c2e679848,Sid is the life of the party,Sid never gets invited to the cool parties.,Sid never gets invited anywhere.,One day as a prank he gets invited by the cool kids.,At the party Sid surprises everyone.,He becomes the life of the party and makes a bunch of new friends.
1216d7b8-9bb5-45b1-8b03-cd7e18541391,Neither More Nor Less Likely than Fifty Heads Followed by Fifty Tails,A man flipped a coin one hundred times.,It came up heads each and every time.,The man concluded that the coin was rigged.,He beat another man a lot of money on a coin toss.,"To his chagrin, the earlier results had been nothing more than chance."
86637b25-f5e1-4ed3-a4bf-f80e60825515,Sleeping is Not Safe,Wilma drove her car with Toya.,"While they were on the road, Toya went to sleep.",Wilma wanted to wake her up.,She decided to make a quick stop by heavily pressing the brakes.,Toya's head flew into the window.
7ac749ea-e152-44db-b0b8-2e63a4d07ec9,Wrong Bottle,Tom was drinking juice at work.,His co workers were chewing tobacco.,Tom made the mistake of putting his bottle down.,When he went to drink from it he got a mouth full of tobacco spit.,Tom spat it out and made sure not to make that mistake again.
e9b66b6f-7cb2-43e6-a095-64245774216a,Thaler,Big Baller Thaler laughed right in my face.,I had told him how I planned to kick his ass.,He didn't take it too seriously.,That's when I circled around behind him.,"He tried to turn with me, but ate a German suplex to the dome."
c105116a-e46d-4c14-901e-b11c33fa8b3e,Boo!,"Cheryl hurriedly pulled on her costume, late because of her chores.",The only house whose porchlight was on belonged to the creepy lady.,Cheryl shook like a leaf as she rang the doorbell.,The creepy lady screamed at her costume and dropped all the candy!,Cheryl picked up the candy and filled her bag to the brim.
fcc19d84-5f83-4dbc-934b-b49203cd279d,The job,I got offered a job yesterday.,It is just a part time job.,I can do the work at home.,Which is nice because I have kids.,I am really thinking of taking the job.
e5555e6e-22d1-4d30-a74c-5d075c0ceb08,New Friends,Alice had just started at a new school.,She didn't know any kids in her class.,For lunch a group of girls asked if she wanted to sit with them.,Alice sat with the girls.,She and the girls became friends.
17f72f7d-bad2-46f9-9448-34a3be9bbf8d,crazy lady,loving a woman is something all men really want.,we all have fallen for a crazy girl at least once.,i dated a girl that was insane she thought the mob was after her.,eventually she had to go cause it was just too much to deal with.,she was an example of the problem with health care in america.
c8af6b12-b2d8-43f2-a3a8-75b22d5d461b,The Game,Carly loved to play games with her sisters.,She taught them a new game called Telephone.,They sat in a circle and whispered things to each other.,"At the end of the game, the phrase would sound very silly and incorrect.",They all giggled at the new phrases.
be126d7b-c21d-4928-ac45-4be7036675fb,Rare Lobster,James was a fisherman working on a lobster boat that he owned.,One day he found a rare calico-colored lobster in one of his traps!,He figured he should try to get it put on display somehow.,A local aquarium offered to adopt the lobster and keep it in a tank.,Derek still visits his rare lobster friend at the aquarium sometimes.
f5a566e0-5c65-43f0-b154-be0e1c7a3328,IT Restrictions,Our agency got the use of the Internet in 2002.,There were no restrictions.,Everyone used the Internet to surf and shop.,A new IT director came on in 2004 and restricted access severely.,Everybody was disappointed.
03c058e8-8f36-4f47-83db-df8875b55df6,The Rock Climber,Frank decided to try rock climbing out as a sport.,He practiced for a few months inside of a gym with safety gear.,After those months he finally decided to try and climb up a mountain.,He got his gear and drove to a nearby mountain and began climbing.,His hard work paid off when he looked down at the world from the top.
8df0620f-d7df-4091-9d75-87c903b8890a,21st Birthday,Meg can't wait until she turns 21 so that she can drink.,She goes out with a group of friends on her 21st birthday.,They drink and party all night.,Meg wakes up the next morning more sick than she has ever been.,She vows to never get drunk again.
d70cb407-e57b-4bf6-b431-d911caad3b63,No Room For Rest,Tina was resting on the couch.,Her boyfriend decided to scare her and she woke up fast.,"After Tina went inside her room to sleep, she got scared again by him.",She ended up getting mad.,"In addition, her friend offered her house to sleep in."
96aaa636-3004-4cf3-bc4d-b78602d049bb,Jerome makes the shot,Jerome was a basketball player for his high school.,He was in the middle of a game.,His team was down by a  basket with little time remaining.,The ball is inbounded and passed to Jerome.,Jerome puts up the shot and it goes in.
115a7fcd-b165-49ef-9576-e8519c81cb13,Johnny's Favorite Ball,Johnny loved his red and blue ball.,He'd spend hours kicking it around his yard.,One day he accidentally kicked it into his new neighbor's yard.,Their house was empty so he hopped the fence to retrieve the ball.,Once in the neighbor's yard Johnny met their mean dog Sampson.
71fcd971-1930-414f-b428-7d699a57d476,The Outlet,Ethan admonished his younger sister never to touch the outlet.,He then went to watch television in the next room.,He then noticed the lights flickering.,Ethan gasped and ran to where his sister was playing.,The sister had inserted a kitchen knife into the socket.
8277dec6-1bc4-4147-b7bb-9da69383f279,Fun Is Weird Al Yankovic,Brianna was a Freshman at Cal State Fullerton.,"A guy, who was a junior, asked her out on a date.",Brianna didn't think she would have fun but said OK.,The guy took her to get drunk and next to a Yankovic concert.,Brianna had the time of her life partying to Weird Al Yankovic.
d30986cc-a915-45af-a684-1ee21ce95071,Easter Joy,On Easter I took my children to their grandma's house.,We had an egg hunt in the front yard.,Everything was damp from the rain that morning.,The wet eggs attracted slugs.,My children cried and refused to hunt for any eggs.
6f5c7eee-d286-4611-b80f-70bdd1707cdd,Teaching,Percy was the teacher for a very disruptive class.,They did not pay attention to him at all.,Percy brought in a megaphone and yelled at them.,The class stopped talking and paid attention.,Percy brought the megaphone every day.
ddb32a31-17ce-45cf-94c6-ef8d1e1be511,Mason's First Phone,Mason made a deal that he could have a phone if he saved up for it.,He spent the summer doing odd jobs to save up cash.,"When he finally saved enough, he went out to the store to look.",The new iPhone caught his eye immediately.,He walked out of the store already texting his friends.
1dc01251-16c2-4d12-90f1-07273fdb9a57,Wedding Dress,Tina wanted to be sure she had the perfect wedding dress.,She searched all over town to find one.,"Finally, she found one that suited her perfectly.",She bought it right away.,She felt like a princess on her wedding day in her perfect dress.
84dbc46d-2789-4659-a9f2-2f7fa918b28b,Boys,John's twin boys were getting ready for bed.,John heard a rumble from their upstairs bathroom.,John sprinted up the stairs to see what was going on.,One of the boys had toothpaste all over him.,"John put both boys in time out, but he chuckled at the mess they made."
c842163e-9b63-444d-9911-85e325efd956,Music and Money,Harvey loved music and owned thousands of old records.,He was moving into a smaller place with little room for them though.,He had to sell all his records.,His brother bought him an iPod and put all of his music onto it.,Now Harvey has free space and still gets to listen to his music!
4a407a20-cd39-4f78-a909-2e4be8d1d146,The Waiter,Johnny worked as a waiter.,"One day, Johnny dropped his tray over a customer.",The customer was angry and yelled at Johnny.,The customer complained to the restaurant.,Johnny was fired because of his mistake.
e55c9dc5-ee81-4e21-ab3d-ed9ff0e452ba,Hip Hop,Courtney liked her dance school.,Hip Hop was her favorite class.,She learned new moves every week.,"When she had mastered those, they taught her some more.",Courtney was excited about all the things she would learn for recital.
921dc697-e164-4f1b-b313-22ddbad11247,Matteo,My wife's nephew became a father last year.,His wife gave birth to a boy in September.,We visited the baby in the hospital.,They named the baby Matteo.,We found the name to be interesting.
7a757165-6abf-4740-8ee6-12cb709332ff,Luther gets left,Luther takes a date to the movies.,Luther tries to kiss his date.,Luther has bad breath.,His date leaves the movies.,Luther gets left at the movies.
328a1b22-805a-48f7-83fc-e30b090552ad,Asleep at the Wheel,Jean hadn't been sleeping really well.,"She would go to bed early, but couldn't sleep.",She was driving to work one day and drifted off to sleep.,Jean went off the road and hit the ditch.,The officers at the scene told Jean she was lucky to only have bruises.
7aea08d7-9568-4c47-9745-af264413fdfa,The Race,John had trained for the last 6 months to run a 5K.,"He knew he could do it, he just wasn't sure how fast he could go.","When the buzzer went off, he started running.",He passed some people while others passed him.,He was happy when it was announced he was third in his age group.
41c3a611-e481-4363-be02-732ad11786bf,Alligators,There was a huge Alligator exhibit at the zoo.,They had feedings twice a day.,It was amazing how well they were trained.,"They were huge scary animals, but the trainers did a good job.",It was one of the most interesting exhibits I have seen.
8aafe7d8-6c30-468d-8ea0-b61b7628bff9,The Zip Line,Many people travel to Grafton for ziplining.,The area is known for amazing views of the Mississippi River.,"At the zipline, they first show everyone safety tips.",Participants gear up in special equipment.,"With the help of instructors, people are able to zip with no problems."
17ff1e0f-4f9f-41cc-98c1-71ab29ef23c1,The Long Exam,I had a long exam in the morning.,"However, I wanted to watch football tonight.",I watched the full game.,"After the game, I hurriedly crammed for the exam.","Luckily, I passed the exam with flying colors."
82b4ebd1-6985-40b2-9156-dce4affe577f,Pumpkin Fall,John was buying some pumpkins for his family to carve.,"He had found his wife the perfect, unmarked pumpkin.","Just as we was going to load up the car, he dropped the pumpkin.",It broke into pieces.,"Luckily, John found another pumpkin that was almost as good."
072a0bdb-b75e-449c-9e49-c6d3d7b2af55,Lost Phone,Judy needed to call her mom.,Judy's phone had been missing all morning.,Judy looked all around her house.,Judy found her phone under her couch.,Judy called her mom.
d63d4a6e-3aef-4768-bae4-f72fa0690848,Soccer,Julio wanted to watch the soccer match on TV.,She didn't have anyone to watch it with so he was upset.,He asked his friends if they'd watch it with him.,A few people replied but no one would watch it with him.,He eventually just watched the game alone.
8ee1f3f4-2692-4360-ba67-bde9ffe3ca94,Kevin's Day,Kevin went to the park to ride his skateboard.,He saw an older kid doing a really cool trick.,Kevin practiced because he wanted to do the trick too.,The older kid noticed and gave Kevin some advice.,"By the end of the day, Kevin left the park knowing a new trick."
63512500-14cc-434d-9165-7ece7ab6f893,Bruised,Anna was playing football in gym at school.,She tossed the ball to her teammate.,But he didn't catch it - it caught him!,It hit him on the cheek.,He ended up with a big purple bruise!
799ed438-0969-4552-a8aa-062dcea3c693,Trade,Laura was feeling extremely thirsty.,All she had on her was some chocolate.,"Laura then ran into her friend, Katherine.",Katherine held a bottle of water and was known to have a sweet tooth.,The two friends decided to trade their items.
0c682e2f-6aec-4b69-ae06-4fb02c854cc1,Jerald's car breaks down,Jerald wanted to buy his own car.,He found an affordable sedan he wanted.,Jerald bought the sedan.,The next day the sedan wouldn't start!,Jerald got a mechanic to fix his car.
76347ce8-458f-402e-97d1-2a4885d57a87,The bird in the garage.,Cody was in his garage organizing things.,"Suddenly, a bird came in.",The bird was panicked and couldn't find it's way out.,Cody helped to guide it out the door.,"Finally, the bird flew away."
038892b5-034f-4f3b-93a3-a047fcb7c80b,Chess,John is really good at playing chess.,"His friend, Mark, said John isn't as good as Mary.",So John challenged Mary to a game.,"The game took 2 hours, they are both great chess players.","Eventually Mary won, Mark was right, and John was shocked."
90b13aaa-eb31-4faa-9818-2fdbf97ea49e,The Time I Went to Georgia,Last year I decided to take a trip to Georgia for a weekend.,When I got there I wanted to see Atlanta.,I took a tour of the city my first day there.,My last day there I went to see an Atlanta Brave's baseball game.,I had a great time on my weekend trip.
f432e7ce-26d6-40e9-a026-ed2523a2bad6,Art Fool,A great artist came to the town fair and set up shop.,A local art critic saw his work and told him he was the best.,The artist smiled and thanked him.,The artist told him all his works were 23 cents.,The critic bought everything because it was such steal!
